n_steps,dt,per_step_error,final_max_diff,final_frob_diff
10,0.6,2.220446049250313e-16,8.881913447979446e-16,1.506038943591597e-15
30,0.2,1.4432899320127035e-15,4.722349369466733e-15,9.565215716256439e-15
60,0.1,1.6653345369377348e-15,1.4655089701227627e-14,2.1414599974862706e-14
150,0.04,1.1102230246251565e-15,8.304471776226003e-14,1.0206964408049999e-13
300,0.02,1.6653345369377348e-15,2.9687367581902904e-13,3.6203048120776047e-13
600,0.01,7.771561172376096e-16,1.636469677142988e-13,2.791953946461342e-13
