step,max_elem_diff,frob_diff,fidelity
1,0.004969536936278884,0.008116402839180059,0.9945379075155628
2,0.009867749323861585,0.016165523890450076,0.9891927078361086
3,0.014674511318128858,0.024149636677453477,0.9840354281807528
4,0.01937175064177954,0.03207093728017302,0.9791299320647924
5,0.02394416436375013,0.039931426159122665,0.9745266999391076
6,0.02837984428026652,0.047732790668076314,0.9702607155883485
7,0.03267079430485098,0.05547629587195421,0.9663503096831552
8,0.036813325447541734,0.0631626931854676,0.9627969257863463
9,0.0408083175055684,0.07079215758426424,0.959585780452146
10,0.04466134039834507,0.0783642643813917,0.9566873514661247
11,0.048382632052637486,0.08587801557934152,0.9540595727270241
12,0.0519869337694685,0.09333192350855192,0.9516505793848469
13,0.05549318797265734,0.10072415590297033,0.9494018143096178
14,0.05892410704233997,0.10805274194254051,0.947251293427068
15,0.06230562547331919,0.11531583343579953,0.9451368298390168
16,0.06566625077375104,0.12251200964067534,0.9429990285699792
17,0.06903633125119119,0.12964060870269692,0.940783893352148
18,0.07244726104990679,0.13670206382335726,0.9384449251815841
19,0.07593064444964104,0.14369821854274648,0.9359446386605881
20,0.0795174424716979,0.1506325933757218,0.9332554706414181
21,0.08323712524013499,0.1575105758585544,0.9303601021098837
22,0.08711685330822744,0.1643395081246453,0.9272512531383188
23,0.09118071029470864,0.17112865058184543,0.9239310390785191
24,0.09544900770902481,0.17788900708356628,0.9204099917506446
25,0.0999376808242925,0.18463300592625656,0.9167058524010494
26,0.10465779193977481,0.19137404156878962,0.9128422353768806
27,0.10961515443332492,0.19812589339208392,0.9088472458998446
28,0.1148100877210339,0.2049020491011594,0.9047521156566642
29,0.12023730970740554,0.21171497036302567,0.9005898997234951
30,0.12588596962188514,0.2185753457979545,0.8963942605991072
31,0.13173982039687432,0.22549138047730785,0.892198351853696
32,0.13777752604942411,0.23246817094046762,0.8880338061615987
33,0.14397309598239205,0.23950721021901153,0.8839298303172167
34,0.15029643481492727,0.24660605879161052,0.8799124124045652
35,0.15671399337339031,0.2537582056527209,0.876003651993517
36,0.16318950389928838,0.26095313001705417,0.872221230841906
37,0.16968478042608798,0.2681765600430618,0.8685780465063988
38,0.17616056369415622,0.27541091174635374,0.8650820320385697
39,0.1825773889504334,0.2826358801538027,0.861736179831268
40,0.18889645453919646,0.2898291465161828,0.8585387763196167
41,0.19508046933905893,0.2969671604283988,0.8554838379868268
42,0.20109445782990654,0.30402595399082266,0.8525617208977082
43,0.2069065028570719,0.3109819463696496,0.8497598595300893
44,0.2124884079593119,0.3178127007720089,0.8470635794811459
45,0.21781626338923255,0.3244976013491263,0.8444569248861117
46,0.22287090261493558,0.3310184242810985,0.8419234454370499
47,0.22763823907503605,0.3373597847336154,0.8394468982957434
48,0.2321094761830439,0.3435094490402312,0.8370118343720254
49,0.23628118695300537,0.3494585089632092,0.8346040535030838
50,0.24015526305463647,0.35520142190134435,0.8322109265805615
51,0.24373873651059486,0.3607359271804027,0.8298215930704561
52,0.2470434805304551,0.366062853860859,0.8274270490620913
53,0.25008579904897976,0.37118583964643614,0.8250201441666761
54,0.25288591732049537,0.37611098333286236,0.8225955059664674
55,0.25546738834522864,0.38084645470391876,0.820149409200029
56,0.25785643190635077,0.38540208582532304,0.817679604346164
57,0.2600812245291884,0.389788966342619,0.8151851174699504
58,0.2621711597006583,0.3940190627749264,0.8126660306407384
59,0.26415609818553887,0.3981048781143144,0.8101232502377579
60,0.2660656282391593,0.40205916357007937,0.8075582691646095
61,0.2679283549504259,0.40589468937794243,0.804972928410592
62,0.2697712368758932,0.40962407659951505,0.8023691834415707
63,0.271618986579359,0.4132596871420114,0.7997488814351118
64,0.2734935497190974,0.4168135651734851,0.7971135562070895
65,0.27541367498423364,0.4202974199711788,0.7944642485951025
66,0.27739458454007393,0.42372263820651546,0.7918013608320066
67,0.2794477517740458,0.42710031282239347,0.7891245538163101
68,0.2815807901191737,0.4304412759726208,0.7864326959286626
69,0.28379745365376036,0.43375612484730675,0.7837238709497176
70,0.28609774711801095,0.4370552313996384,0.7809954505555047
71,0.2884781400331887,0.4403487297611062,0.7782442337496877
72,0.29093187683531835,0.4436464781987046,0.7754666515050184
73,0.293449372416532,0.44695799554386245,0.7726590300456706
74,0.2960186802683274,0.4502923748490353,0.7698179009585284
75,0.2986260185983553,0.45365817938982717,0.766940341129556
76,0.30125633839124893,0.4570633278739539,0.7640243208454041
77,0.3038939164378873,0.4605149767566478,0.7610690347262524
78,0.30652295588721007,0.4640194078770053,0.758075187817566
79,0.3091281768879462,0.4675819292658916,0.7550452084207065
80,0.3116953803789706,0.471206796029955,0.7519833602873423
81,0.31421196903809856,0.4748971568216876,0.7488957298566962
82,0.3166674107793449,0.47865502971593704,0.7457900695674499
83,0.3190536319560858,0.48248130948521184,0.7426754862833923
84,0.3213653295301298,0.486375806443252,0.7395619748375207
85,0.3236001938438435,0.4903373153278714,0.7364598106487138
86,0.3257590362167359,0.4943637112074137,0.7333788317162919
87,0.3278458183068683,0.4984520681738397,0.730327657570803
88,0.3298675829557645,0.502598795651717,0.7273129084430694
89,0.3318342889968837,0.5067997865035742,0.7243384987093116
90,0.3337585551771155,0.511050570729381,0.7214050811735906
91,0.33565532084628463,0.515346468415491,0.7185097105076331
92,0.3375414333445454,0.5196827356617041,0.7156457747604525
93,0.33943517400191336,0.5240546974867496,0.7128032155139418
94,0.341355736306558,0.5284578621749841,0.7099690246598828
95,0.34332267105711994,0.5328880121821746,0.7071279748480152
96,0.34535531415827736,0.5373412675732286,0.7042635169436484
97,0.34747221312860627,0.541814119026395,0.7013587649364227
98,0.349690568357946,0.5463034287057214,0.6983974875294381
99,0.3520257046824874,0.550806398760268,0.6953650344120603
100,0.3544905879559456,0.5553205088174695,0.6922491406274354
101,0.3570954000119724,0.5598434255372909,0.6890405706550018
102,0.35984718377434155,0.5643728889968752,0.6857335815269523
103,0.3627495683245865,0.5689065822745165,0.682326199252127
104,0.36580258153678114,0.5734419919756726,0.678820313997081
105,0.3690025554975104,0.5779762684679856,0.6752216068401038
106,0.3723421274118459,0.5825060951525102,0.6715393251062778
107,0.3758103361222537,0.58702757610371,0.6677859252782831
108,0.3793928118066275,0.5915361508066879,0.6639766032816096
109,0.38307205394294597,0.5960265434980435,0.660128732455587
110,0.3868277902974331,0.6004927528198629,0.6562612303787485
111,0.3906374075720661,0.6049280852196369,0.6523938772327803
112,0.3944764424910991,0.6093252329137334,0.6485466105263606
113,0.3983191205626687,0.6136763944554054,0.6447388233851152
114,0.40213892855935796,0.6179734332079394,0.6409886955984017
115,0.4059092059498781,0.6222080665207804,0.6373125874032102
116,0.40960374010137346,0.626372076328644,0.6337245248120803
117,0.41319735006591646,0.6304575303979837,0.6302358016219213
118,0.41666644416224924,0.6344570026460088,0.6268547169520835
119,0.4199895373506018,0.6383637809172578,0.6235864586397845
120,0.4231477155500481,0.6421720513282226,0.6204331329360482
121,0.4261250355303243,0.645877049732991,0.6173939308825763
122,0.4289088507807396,0.6494751729227654,0.6144654127638042
123,0.43149005576787136,0.6529640447068866,0.6116418851749112
124,0.43386324318525776,0.65634253485736,0.6089158411771188
125,0.4360267711121134,0.65961073183713,0.6062784328857457
126,0.4379827393712468,0.6627698730713029,0.6037199473605548
127,0.4397368767449351,0.6658222390633044,0.6012302602293421
128,0.44129834300836246,0.6687710197274559,0.5987992463188917
129,0.4426794519125751,0.6716201627608426,0.5964171319597029
130,0.4438953232360647,0.6743742146092078,0.5940747789767343
131,0.4449634737748724,0.677038164544273,0.5917638952771773
132,0.4459033586111738,0.6796173015705765,0.5894771711909034
133,0.4467358751533078,0.6821170923835138,0.5872083442606796
134,0.44748284324865045,0.6845430865255114,0.5849521980709612
135,0.44816647511665775,0.6869008523981739,0.5827045030468191
136,0.4488088489247566,0.6891959450813491,0.5804619090470162
137,0.4494313995365241,0.6914339041983895,0.5782218010845049
138,0.450054439311647,0.69362027756238,0.5759821306470311
139,0.45069672085179996,0.6957606642339625,0.573741235823352
140,0.45137505229595143,0.6978607690762768,0.571497663684878
141,0.45210397421071025,0.6999264600182133,0.5692500080280956
142,0.4528955053409806,0.7019638190902769,0.5669967745540154
143,0.45375896253369463,0.703979178876419,0.5647362837894958
144,0.45470085807720184,0.7059791372723686,0.562466619544709
145,0.45572487556802443,0.7079705452482878,0.5601856275349355
146,0.4568319232831958,0.7099604645327205,0.5578909651401448
147,0.45802026195783707,0.7119560945896517,0.555580199371425
148,0.4592857018994022,0.7139646707609966,0.5532509462464816
149,0.46062186256404647,0.7159933378034644,0.5509010412483696
150,0.462020486123796,0.7180490050865186,0.5485287276310575
