n_steps,dt,max_q0,frob_q0,rel_q0,max_q1,frob_q1,rel_q1,max_half,frob_half,rel_half,max_full,frob_full,rel_full
10,0.6,0.04400251816690015,0.15243080175963292,0.038955123097174416,0.029554466451491845,0.11821786580596735,0.02999437653094231,0.07225651367144714,0.23658299845046155,0.06136095277588217,0.11027111139858659,0.3984744491281974,0.10712801952447765
30,0.2,0.014888060396937353,0.05157381450469014,0.01298978739633395,0.009950166250831949,0.03980066500332763,0.009999791672968498,0.024690087971667385,0.08083902099613657,0.02046230009834581,0.04693317308746081,0.15660836997984764,0.040130678155328135
60,0.1,0.007471945180861694,0.025883584952303845,0.006495116317025251,0.004987520807317791,0.01995008322927084,0.0049999739585302955,0.01242219950611878,0.040672057835887884,0.010231555728786621,0.024447024384038563,0.0804386221477012,0.020360965794661633
150,0.04,0.0029955044966270246,0.010376732451327142,0.0025980714617582132,0.0019980013326669327,0.007992005330667696,0.001999998333335341,0.00498752080731768,0.016329848433092896,0.004092667730700858,0.009934291507710635,0.03255223721197678,0.008178745340825784
300,0.02,0.0014988755622891258,0.00519225731706294,0.0012990375119760322,0.0009995001666250082,0.003998000666499943,0.000999999791666707,0.0024968776025399153,0.008175129793118128,0.00204633711106136,0.004985527525495859,0.01632658369424605,0.004091849510949792
600,0.01,0.0007497188202993943,0.0025971021839067215,0.0006495189786257113,0.0004998750208307294,0.001999500083322857,0.0004999999739583201,0.0012492190754191945,0.004090119552569045,0.001023168961245632,0.002496627987538136,0.008174721075144066,0.00204623480401297
