n,dt,max_elem_diff,final_elem_diff,max_frobenius
10,0.6,0.24663941617296442,0.24663941617296442,0.406934695804055
20,0.3,0.2466394211541255,0.2466394211541255,0.40693469134539606
50,0.12,0.2466394192995732,0.2466394192995732,0.4069346929951506
100,0.06,0.24663942086837654,0.24663942086837654,0.40693469164353224
150,0.04,0.24663941177044602,0.24663941177044602,0.40693469963517537
300,0.02,0.24663941596268973,0.24663941596268973,0.4069346959518511
600,0.01,0.24663941750418286,0.24663941750418286,0.40693469467789023
