n_steps,dt,max_elem_diff,final_elem_diff,max_frobenius_diff
10,0.6,0.5069243511453216,0.43461799859610634,0.6650461673830201
20,0.3,0.5667940523392957,0.5667940523392957,0.7179224429715068
50,0.12,0.587760535149991,0.587760535149991,0.7457745418242396
100,0.06,0.5902325796815289,0.5902325796815289,0.751071849803497
150,0.04,0.590661708866905,0.590661708866905,0.7524782763699522
300,0.02,0.5909021994952577,0.5909021994952577,0.7537213427896238
600,0.01,0.590952323363999,0.590952323363999,0.7542847389643746
