n,dt,max_elem_diff,final_elem_diff,max_frobenius
10,0.6,0.007524737371721401,0.0024801342616292,0.011258671557237412
20,0.3,0.0017306258913620887,0.0005688991907659567,0.0026107798555722013
50,0.12,0.00028590165720761225,8.905644094446789e-05,0.0004164491484835599
100,0.06,7.130154337134762e-05,2.2196293370081123e-05,0.00010409655031448494
150,0.04,3.1730122357359165e-05,9.85946637634651e-06,4.6237715214539555e-05
300,0.02,7.929838296846563e-06,2.4640347276624775e-06,1.1556329042986386e-05
600,0.01,1.9825915977450796e-06,6.15956721850808e-07,2.889089279573837e-06
