t,z0_exact,z0_trotter,z1_exact,z1_trotter
0.0,1.0,1.0,1.0,1.0
0.04,0.9848675757776462,0.996814499477408,0.9888412661573286,0.9968208960648027
0.08,0.9636523528024679,0.9873883885710697,0.9715222721039389,0.9874200509644657
0.12,0.9367485367966821,0.9720316940230336,0.9484011122763945,0.9721191866589517
0.16,0.9047015138915842,0.9512113043627066,0.919989042245393,0.9513957232863213
0.2,0.8681919328698608,0.9255368592967309,0.8869350771762048,0.9258683199456944
0.24,0.8280161112099378,0.8957429308545819,0.8500068545929699,0.8962787543881675
0.28,0.7850636065677588,0.8626680132966935,0.8100686024800764,0.863470666792363
0.32,0.7402924380772019,0.8272309196629173,0.7680566795989844,0.8283657720691521
0.36,0.694702740653159,0.7904052467903944,0.7249534747377455,0.7919382073239106
0.4,0.6493095054174675,0.7531926161064104,0.6817603059308146,0.7551877246990134
0.44,0.6051151416099348,0.716595423461967,0.6394700614789577,0.7191124638347179
0.48,0.5630826298775913,0.6815898372104376,0.5990403406329547,0.684682042171332
0.52,0.5241108441422435,0.6490997696923106,0.5613686947001473,0.6528116853621988
0.56,0.48900904983086835,0.6199725138393243,0.5272669653007064,0.6243380848046297
0.6,0.45847805936480823,0.5949566848541858,0.4974421764548689,0.5999976158677067
0.64,0.4330917492669691,0.5746830384330293,0.4724777836942049,0.5804074804233104
0.68,0.41328249578050824,0.559648653789522,0.452818752487928,0.566050252821027
0.72,0.3993314405135642,0.5502048742014602,0.4387614057807963,0.5572622119100964
0.76,0.39136209982551806,0.5465492926306376,0.430446631412733,0.5542257358248965
0.8,0.3893387168379951,0.5487219580953149,0.42785776028688216,0.556965923962012
0.84,0.3930692059202334,0.5566058629837053,0.4308230683038065,0.5653514949772813
0.88,0.4022102469110742,0.5699316555352683,0.43902040564117417,0.5790998938693
0.92,0.41627993259881113,0.5882864084143581,0.4519893825218269,0.5977864284136173
0.96,0.43467130352868916,0.6111261666850192,0.46914451805406404,0.620857148380277
1.0,0.45666928734621703,0.6377918994101701,0.48979177481100716,0.6476450829264656
1.04,0.48147163801082166,0.6675283911284793,0.5131491259049464,0.6773893648607519
1.08,0.5082111693981392,0.6995055348679593,0.538368546234169,0.7092566973494097
1.12,0.5359794286973394,0.7328414290136528,0.5645593938324838,0.7423645609143182
1.16,0.5638519535712944,0.7666266377049551,0.5908135181398172,0.7758055176580991
1.2,0.5909118435268366,0.7999489494787213,0.6162286880595996,0.8086719464806825
1.24,0.6162762545005698,0.8319179620935983,0.6399350312081489,0.840080538069991
1.28,0.6391185625889442,0.8616888328703544,0.6611171955356213,0.869195891610781
1.32,0.658689538260366,0.888484562973672,0.6790355743704801,0.8952525859241998
1.36,0.6743376642203697,0.911616229882309,0.693046728633645,0.9175751451213788
1.4000000000000001,0.6855245117144453,0.930500643444783,0.7026189156875173,0.9355953813850241
1.44,0.6918387287087137,0.9446749755956393,0.7073462629178645,0.9488666733468444
1.48,0.6930054397967339,0.9538079998652176,0.7069583911445954,0.9570748255283815
1.52,0.6888917874923538,0.9577076718205743,0.7013261919294186,0.9600452500022544
1.56,0.6795093475808287,0.9563248828769734,0.6904644982615807,0.9577463131441512
1.6,0.6650120906110751,0.9497533247249628,0.6745303015716058,0.9502887952814842
1.6400000000000001,0.6456905330303312,0.9382255070677721,0.653817151290743,0.9379215163419244
1.68,0.621962515568265,0.9221050746090567,0.6287461672806849,0.9210232834222799
1.72,0.5943603977292246,0.9018756675111845,0.5998534438204025,0.9000914137888166
1.76,0.5635157510146671,0.8781266602599679,0.567774921041956,0.8757271766057991
1.8,0.530140497076935,0.8515361946535062,0.5332276651696953,0.8486185763275365
1.84,0.4950076474643528,0.8228519914025201,0.49699070157386815,0.8195209681351403
1.8800000000000001,0.4589291300616539,0.7928704798536236,0.4598828985227768,0.789236049356215
1.92,0.422733510408285,0.7624148252795806,0.42274068469250375,0.7585898091686508
1.96,0.3872437078648132,0.7323124570961353,0.3863957172367304,0.7284100411760829
2.0,0.3532544136798055,0.7033727087787869,0.35165221033723426,0.6995040292119088
2.04,0.32151074279738645,0.6763651711298702,0.3192654330335567,0.6726370059901847
2.08,0.2926897456904747,0.6519993352975102,0.289923039044362,0.6485119574292043
2.12,0.2673809970968415,0.630906061414984,0.2642254326504694,0.6277513035092493
2.16,0.24607284717145228,0.6136213541568798,0.2426717500509659,0.610880930672148
2.2,0.22914012966658104,0.6005728595082696,0.22564730501032196,0.5983169826707413
2.24,0.2168342780047039,0.5920694195449109,0.2134133982684826,0.5903557383886223
2.2800000000000002,0.20927865303893678,0.5882939362199366,0.2061023298881607,0.5871668186898689
2.32,0.20646746148123768,0.5892997034412362,0.20371602854344295,0.5887898722356968
2.36,0.20826420203454377,0.59501027163472,0.20612419814536637,0.5951347949593494
2.4,0.2144101760927027,0.6052228131187152,0.21307254519490681,0.6059854421203028
2.44,0.2245302873561233,0.6196148625557051,0.22418834068482557,0.6210066981503898
2.48,0.23814569179750256,0.6377542170167929,0.23899284742206647,0.6397546803627852
2.52,0.2546875097593989,0.6591116971670522,0.2569148736237509,0.6616897703769067
2.56,0.273512539376625,0.683076396927402,0.27730634944206545,0.6861920939650296
2.6,0.29392225816742723,0.7089729856010242,0.299461254196543,0.7125790078307357
2.64,0.3151829892359149,0.7360805754700387,0.32263578997465325,0.7401241021522522
2.68,0.33654359980364024,0.7636526305218433,0.34606610162812035,0.7680771917792754
2.72,0.35725906751362224,0.7909373691248189,0.36899194960252824,0.7956847475917596
2.7600000000000002,0.37660848995600965,0.8171981056109394,0.3906748774242294,0.8222102131443257
2.8000000000000003,0.3939155160037846,0.8417329829007337,0.41041885036809966,0.8469536603528329
2.84,0.4085660548735048,0.8638935701805546,0.4275882326419064,0.8692702612477615
2.88,0.4200240551447496,0.88310183547703,0.44162386166831136,0.8885870899492099
2.92,0.42784556090692627,0.8988650516637751,0.45205744847250484,0.9044178188714406
2.96,0.4316901951036442,0.9107882545403406,0.45852345338310646,0.9163749342704309
3.0,0.4313287637025929,0.9185839414090499,0.46076706097483455,0.9241791668465682
3.04,0.42664917313655615,0.922078776064292,0.4586505294704535,0.9276659112089667
3.08,0.4176578968966167,0.9212171491355493,0.4521550601630279,0.9267884914182558
3.12,0.4044790478892451,0.9160615289968052,0.4413802860532803,0.9216182162499602
3.16,0.3873499232838775,0.9067896256133223,0.4265402135201083,0.9123412549013288
3.2,0.36661346827372976,0.8936884753839617,0.4079560580059722,0.8992524492471101
3.24,0.3427082415966316,0.8771456369583359,0.3860465527293097,0.8827462601500289
3.2800000000000002,0.3161558600328534,0.857637763992567,0.36131570248200484,0.8633051205954138
3.3200000000000003,0.28754564828437035,0.8357168888664083,0.3343376928535182,0.8414855355793178
3.36,0.2575189632264142,0.8119948097625148,0.3057414154882705,0.8179023260063091
3.4,0.22675077176831898,0.787126020728738,0.27619221924773174,0.7932114599000022
3.44,0.19593128587703867,0.7617896592449322,0.24637362996182854,0.7680919478678738
3.48,0.16574773425390987,0.7366709675789986,0.21696916898142768,0.7432273002091975
3.52,0.13686541810119535,0.7124427723871151,0.18864339873656355,0.7192870498916701
3.56,0.10990984771263668,0.6897474815055552,0.1620239760505033,0.6969088388000961
3.6,0.08545135943692861,0.6691800779809758,0.13768613596228277,0.6766815444996279
3.64,0.06398876275813503,0.6512725597354423,0.1161361875603607,0.6591298919331132
3.68,0.04593783360831449,0.6364802298419244,0.09779975477114111,0.6447009499982014
3.72,0.03162023963880789,0.6251701884831211,0.08301046279876911,0.6337528581400613
3.7600000000000002,0.021255987789406072,0.6176123148385874,0.07200208214322287,0.6265460645303964
3.8000000000000003,0.014958701281125586,0.6139729571745242,0.06490349580040741,0.6232372868836467
3.84,0.012733002838914431,0.614311474254345,0.06173575143498017,0.623876331457042
3.88,0.014475447546561493,0.6185796929235345,0.062412645890317586,0.6284058273774346
3.92,0.019979529472559432,0.6266242674897674,0.06674539681210542,0.636663854276837
3.96,0.028940305165965685,0.638191848463844,0.07444694654871045,0.6483893634415949
4.0,0.040965040897150806,0.6529368934407551,0.0851422757381281,0.6632302183697472
4.04,0.055583731612193266,0.6704318833660992,0.09837864467545995,0.6807536117557663
4.08,0.07226276197865855,0.6901796449728412,0.11363898389180807,0.7004585542837632
4.12,0.09041991409872674,0.7116274263998996,0.13035667622690433,0.7217900777986004
4.16,0.10944006965246478,0.7341823292798686,0.14793106814729498,0.7441547527746172
4.2,0.12869210906252138,0.7572276679865968,0.16574421417161048,0.766937088562033
4.24,0.14754670266951786,0.7801398060318139,0.1831785685293776,0.7895163653971682
4.28,0.1653916750683102,0.8023050112328519,0.1996322947441776,0.8112834400206775
4.32,0.18164971154693488,0.8231358753431683,0.21453692985463987,0.8316570720273143
4.36,0.19579248478128142,0.8420868601100946,0.2273715565714147,0.8500993355051437
4.4,0.20735466501261468,0.8586685596396697,0.23767686249301362,0.8661297095204115
4.44,0.2159457183454333,0.8724603076380211,0.2450670374778588,0.8793374806694949
4.48,0.2212593599986516,0.8831208064122801,0.24923935246952034,0.8893921400759839
4.5200000000000005,0.22308099890824662,0.8903965110532707,0.24998175022452246,0.896051514439294
