n_steps,dt,max_half,frob_half,rel_half,max_circ_vs_class
10,0.6,1.0,4.7249944663117915,1.225490268584838,0.4635972761266011
30,0.2,1.0,4.83884404868697,1.2248277853100107,0.4621743537697512
60,0.1,1.0,4.868637646279964,1.2247656020302895,0.46205388044428763
150,0.04,1.0,4.886776450258616,1.2247481883905216,0.462020486123791
300,0.02,1.0,4.892866875263463,1.2247457006447775,0.4620157273879996
600,0.01,1.0,4.8959204032400825,1.224745078705102,0.4620145381662518
