n_steps,dt,ancilla_dim,maxdiff_map,frob_map,max_final_diff
10,0.6,4,0.9855424527854358,4.726419255418994,0.4980101653512145
30,0.2,4,0.995061738857902,4.83902857668873,0.5000746651314054
60,0.1,4,0.9975155292554618,4.868685559224667,0.5007692463305933
150,0.04,4,0.9990024938490008,4.886784291989455,0.5012142735211306
300,0.02,4,0.9995006242301473,4.892868850534399,0.5013672274670986
600,0.01,4,0.9997501561537072,4.895920898922076,0.5014445647816861
