n_steps,dt,max_half,frob_half,rel_half,max_circ_vs_class,frob_cc,rel_cc,max_circ_vs_qutip,frob_ct,rel_ct,max_classical_vs_qutip,frob_cq,rel_cq
10,0.6,0.07225651367144714,0.23658299845046155,0.06136095277588217,0.46359727612660157,0.7185363732269846,1.117635152825117,0.19770473486287576,0.43534550741571604,0.43534550741571604,0.3358414459825777,0.712214034869163,0.712214034869163
30,0.2,0.024690087971667385,0.08083902099613657,0.02046230009834581,0.46217435376975163,0.7180975301961021,1.1161206421562317,0.19678871670313436,0.4347859672116602,0.4347859672116602,0.33560699729215254,0.7121828129361516,0.7121828129361516
60,0.1,0.01242219950611878,0.040672057835887884,0.010231555728786621,0.46205388044428763,0.7180595544535803,1.115992855264451,0.19670835021841798,0.43473459160293815,0.43473459160293815,0.33558798552042185,0.7121828189707319,0.7121828189707319
150,0.04,0.00498752080731768,0.016329848433092896,0.004092667730700858,0.4620204861237911,0.7180490050865137,1.1159574426330652,0.19668598777362484,0.43472023077331706,0.43472023077331706,0.335582738322169,0.7121828933167216,0.7121828933167216
300,0.02,0.0024968776025399153,0.008175129793118128,0.00204633711106136,0.4620157273879996,0.7180475009831561,1.1159523965944302,0.1966827980580928,0.434718180079757,0.434718180079757,0.33558199139053113,0.7121829064773674,0.7121829064773674
600,0.01,0.0012492190754191945,0.004090119552569045,0.001023168961245632,0.4620145381662517,0.7180471250721089,1.1159511355868186,0.19668200082054205,0.43471766743955353,0.43471766743955353,0.3355818047614048,0.7121829098662054,0.7121829098662054
